episode,podcast,rec_1_episode,rec_1_isCorrect,rec_1_podcast,rec_2_episode,rec_2_isCorrect,rec_2_podcast,rec_3_episode,rec_3_isCorrect,rec_3_podcast,rec_4_episode,rec_4_isCorrect,rec_4_podcast,rec_5_episode,rec_5_isCorrect,rec_5_podcast
EPISODE 25,Mable,298- Getting and Spending,False,this-american-life,"Weekly Roundup: Thursday, January 31",False,npr-politics-podcast,Teenage (Employment) Wasteland,False,the-indicator-from-planet-money,642- The Impossible Dream,False,this-american-life,14- Accidental Documentaries,False,this-american-life
EPISODE 26,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 27,Mable,,,,,,,,,,,,,,,
EPISODE 28,Mable,,,,,,,,,,,,,,,
EPISODE 29,Mable,264- Special Treatment,True,this-american-life,535- Origin Story 2014,False,this-american-life,"Weekly Roundup: Tuesday, November 22",False,npr-politics-podcast,607- Didn’t We Solve This One?,False,this-american-life,#829: Rigging The Economy,False,planet-money
EPISODE 3,Mable,367- Ground Game,False,this-american-life,349- Valentine’s Day 2008,False,this-american-life,#871: Blacklisted In China,False,planet-money,72- Trek,False,this-american-life,Do Orchestras Really Need Conductors? ,False,hidden-brain
EPISODE 30,Mable,612- Ask a Grown-Up,False,this-american-life,634- Human Error in Volatile Situations,True,this-american-life,"603- Once More, With Feeling",False,this-american-life,617- Fermi’s Paradox,False,this-american-life,601- Master of Her Domain… Name,False,this-american-life
EPISODE 31,Mable,,,,,,,,,,,,,,,
EPISODE 32,Mable,172- 24 Hours at the Golden Apple,False,this-american-life,Radio Replay: Loving the Lie,False,hidden-brain,420- Neighborhood Watch,False,this-american-life,How Birth Order Relates To Job Success,False,hidden-brain,Episode 1,False,Mogul The Life and Death of Chris Lighty
EPISODE 33,Mable,,,,,,,,,,,,,,,
EPISODE 34,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 35,Mable,Episode 3,False,Mogul The Life and Death of Chris Lighty,418- Toxie,False,this-american-life,620- To Be Real,False,this-american-life,Corn Your Toes And Blast-Off To The Moon!,False,wow-in-the-world,"Weekly Roundup: Thursday, March 7",False,npr-politics-podcast
EPISODE 36,Mable,,,,,,,,,,,,,,,
EPISODE 37,Mable,612- Ask a Grown-Up,False,this-american-life,634- Human Error in Volatile Situations,True,this-american-life,"603- Once More, With Feeling",False,this-american-life,617- Fermi’s Paradox,False,this-american-life,601- Master of Her Domain… Name,False,this-american-life
EPISODE 38,Mable,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast,121- Twentieth Century Man,False,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,86- How to Take Money from Strangers,False,this-american-life,"Weekly Roundup: Thursday, June 22",False,npr-politics-podcast
EPISODE 39,Mable,Trickle-down Economics: Pricing H2O,False,the-indicator-from-planet-money,#864: The Central (Bankers') Question,False,planet-money,When Personalization Leads To Discrimination On AirBnB,False,hidden-brain,U.S.-China Trade: Where Are We Now?,False,the-indicator-from-planet-money,#866: Modern Monetary Theory,False,planet-money
EPISODE 4.5,Mable,,,,,,,,,,,,,,,
EPISODE 4,Mable,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast,121- Twentieth Century Man,False,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,86- How to Take Money from Strangers,False,this-american-life,"Weekly Roundup: Thursday, June 22",False,npr-politics-podcast
EPISODE 40,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 5,Mable,,,,,,,,,,,,,,,
EPISODE 6,Mable,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast,121- Twentieth Century Man,False,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,86- How to Take Money from Strangers,False,this-american-life,"Weekly Roundup: Thursday, June 22",False,npr-politics-podcast
EPISODE 7,Mable,261- The Sanctity of Marriage,False,this-american-life,"Weekly Roundup: Thursday, July 26",False,npr-politics-podcast,100- Radio,False,this-american-life,"Weekly Roundup: Thursday, November 15",False,npr-politics-podcast,"Weekly Roundup: Thursday, November 16",False,npr-politics-podcast
EPISODE 8.5 LETTER FROM JUNIPER,Mable,,,,,,,,,,,,,,,
EPISODE 8,Mable,,,,,,,,,,,,,,,
EPISODE 9 CROSSED WIRES,Mable,,,,,,,,,,,,,,,
Infinity Mirror 4,Mable,612- Ask a Grown-Up,False,this-american-life,634- Human Error in Volatile Situations,True,this-american-life,"603- Once More, With Feeling",False,this-american-life,617- Fermi’s Paradox,False,this-american-life,601- Master of Her Domain… Name,False,this-american-life
Infinity Mirror Part Five,Mable,"Weekly Roundup: Thursday, October 18",False,npr-politics-podcast,"Weekly Roundup: Thursday, April 5",False,npr-politics-podcast,439- A House Divided,True,this-american-life,EPISODE 27,False,Mable,"Weekly Roundup: Thursday, September 21 ",False,npr-politics-podcast
Infinity Mirror Part One,Mable,612- Ask a Grown-Up,False,this-american-life,634- Human Error in Volatile Situations,True,this-american-life,"603- Once More, With Feeling",False,this-american-life,617- Fermi’s Paradox,False,this-american-life,601- Master of Her Domain… Name,False,this-american-life
INFINITY MIRROR PART THREE,Mable,,,,,,,,,,,,,,,
Infinity Mirror Part Two,Mable,,,,,,,,,,,,,,,
Episode 1,Mogul The Life and Death of Chris Lighty,Corn Your Toes And Blast-Off To The Moon!,False,wow-in-the-world,Who Gets Power — And Why It Can Corrupt Even The Best Of Us,True,hidden-brain,The Cheater's High And Other Reasons We Cheat,False,hidden-brain,319- And the Call Was Coming from the Basement,False,this-american-life,EPISODE 24,False,Mable
Episode 2,Mogul The Life and Death of Chris Lighty,620- To Be Real,False,this-american-life,418- Toxie,False,this-american-life,Episode 3,True,Mogul The Life and Death of Chris Lighty,Corn Your Toes And Blast-Off To The Moon!,False,wow-in-the-world,"Weekly Roundup: Thursday, March 7",False,npr-politics-podcast
Episode 3,Mogul The Life and Death of Chris Lighty,143- Sentencing,False,this-american-life,76- Mob,False,this-american-life,53- Valentine’s Day ‘97,False,this-american-life,281- My Big Break,True,this-american-life,666- The Theme That Shall Not Be Named,False,this-american-life
Episode 4,Mogul The Life and Death of Chris Lighty,514- Thought That Counts,False,this-american-life,518- Except For That One Thing,False,this-american-life,2- Small Scale Sin,False,this-american-life,50- Shoulda Been Dead,False,this-american-life,203- Recordings for Someone,False,this-american-life
Episode 6,Mogul The Life and Death of Chris Lighty,Corn Your Toes And Blast-Off To The Moon!,False,wow-in-the-world,Who Gets Power — And Why It Can Corrupt Even The Best Of Us,True,hidden-brain,The Cheater's High And Other Reasons We Cheat,False,hidden-brain,319- And the Call Was Coming from the Basement,False,this-american-life,EPISODE 24,True,Mable
Chapter 1 Transcript,S-Town,627- Suitable for Children,False,this-american-life,30- Obsession,False,this-american-life,36- Letters,False,this-american-life,A Year Of Love And Struggle In A New High School,False,codeswitch,"67- Your Dream, My Nightmare",True,this-american-life
Chapter 2 Transcript,S-Town,302- Strangers in a Strange Land,False,this-american-life,133- Sales,False,this-american-life,Infinity Mirror Part One,False,Mable,The Extremely Cautious Case For Extremely Mild Optimism,False,the-indicator-from-planet-money,100- Radio,False,this-american-life
Chapter 3 Transcript,S-Town,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,False,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,False,hidden-brain,Why Now? ,False,hidden-brain,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,"Sunday, November 6",False,npr-politics-podcast
Chapter 4 Transcript,S-Town,333- The Center for Lessons Learned,False,this-american-life,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,302- Strangers in a Strange Land,False,this-american-life,323- The Super,False,this-american-life,"Originals: How To Spot One, How To Be One ",False,hidden-brain
Chapter 5 Transcript,S-Town,"Weekly Roundup: Thursday, December 15",False,npr-politics-podcast,205- Plan B,True,this-american-life,195- War Stories,False,this-american-life,"Weekly Roundup: Thursday, September 6",False,npr-politics-podcast,You 2.0: Originals,False,hidden-brain
Chapter 6 Transcript,S-Town,"Weekly Roundup: Thursday, December 14",False,npr-politics-podcast,333- The Center for Lessons Learned,False,this-american-life,"Weekly Roundup: Thursday, May 3",False,npr-politics-podcast,"Originals: How To Spot One, How To Be One ",False,hidden-brain,245- Allure of the Mean Friend,False,this-american-life
Chapter 7 Transcript,S-Town,658- The Unhappy Deciders,False,this-american-life,402- Save the Day,True,this-american-life,Bag O' Worms & The Velocity Of Poop,False,wow-in-the-world,574- Sinatra’s 100th Birthday,False,this-american-life,346- Home Alone,True,this-american-life
Episode 1,Serial,Stroke of Genius: How Derek Amato Became a Musical Savant  ,False,hidden-brain,Chapter 2 Transcript,True,S-Town,257- What I Should’ve Said,False,this-american-life,"Weekly Roundup: Thursday, June 28",False,npr-politics-podcast,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,False,hidden-brain
Episode 2,Serial,514- Thought That Counts,False,this-american-life,518- Except For That One Thing,False,this-american-life,2- Small Scale Sin,False,this-american-life,50- Shoulda Been Dead,False,this-american-life,203- Recordings for Someone,False,this-american-life
Episode 3,Serial,261- The Sanctity of Marriage,False,this-american-life,"Weekly Roundup: Thursday, July 26",False,npr-politics-podcast,100- Radio,False,this-american-life,"Weekly Roundup: Thursday, November 15",False,npr-politics-podcast,"Weekly Roundup: Thursday, November 16",False,npr-politics-podcast
Episode 4,Serial,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,False,hidden-brain,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,False,hidden-brain,302- Strangers in a Strange Land,False,this-american-life,Why Now? ,False,hidden-brain
Episode 5,Serial,658- The Unhappy Deciders,False,this-american-life,Bag O' Worms & The Velocity Of Poop,False,wow-in-the-world,The Ins & Outs Of The Minimum Wage,False,the-indicator-from-planet-money,Why Men Outnumber Women Attending Business Schools,False,hidden-brain,574- Sinatra’s 100th Birthday,False,this-american-life
Episode 6,Serial,514- Thought That Counts,False,this-american-life,518- Except For That One Thing,False,this-american-life,2- Small Scale Sin,False,this-american-life,50- Shoulda Been Dead,True,this-american-life,203- Recordings for Someone,False,this-american-life
Episode 7,Serial,120- Be Careful Who You Pretend to Be,False,this-american-life,404- Enemy Camp 2010,False,this-american-life,499- Taking Names,False,this-american-life,157- Secret Life of Daytime,False,this-american-life,391- More Is Less,False,this-american-life
Episode 8,Serial,479- Little War on the Prairie,True,this-american-life,554- Not It!,False,this-american-life,A Brief History of Tariffs ,False,the-indicator-from-planet-money,6 Decades Of Research Examines Prisoners Of War,False,hidden-brain,Three Indicators To Keep A (Side)eye On ,False,the-indicator-from-planet-money
,this-american-life,,,,,,,,,,,,,,,
1- New Beginnings,this-american-life,425- Slow To React,True,this-american-life,We're Going To Start A Dialogue...Again.,True,codeswitch,"Friday, November 4 ",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",False,npr-politics-podcast,86- How to Take Money from Strangers,True,this-american-life
10- Double Lives,this-american-life,323- The Super,True,this-american-life,"67- Your Dream, My Nightmare",True,this-american-life,526- Is That What I Look Like?,True,this-american-life,30- Obsession,True,this-american-life,627- Suitable for Children,True,this-american-life
100- Radio,this-american-life,Stroke of Genius: How Derek Amato Became a Musical Savant  ,True,hidden-brain,Chapter 2 Transcript,False,S-Town,"Weekly Roundup: Thursday, June 28",False,npr-politics-podcast,257- What I Should’ve Said,False,this-american-life,495- Hot In My Backyard,False,this-american-life
101- Niagara,this-american-life,EPISODE 29,False,Mable,"Weekly Roundup: Friday, March 1",False,npr-politics-podcast,"Weekly Roundup: Thursday, October 5",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 21 ",False,npr-politics-podcast,"Weekly Roundup: Thursday, August 24",False,npr-politics-podcast
102- Road Trip!,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",False,the-indicator-from-planet-money,386- Fine Print,True,this-american-life,210- Perfect Evidence,True,this-american-life,435- How To Create a Job,True,this-american-life,523- Death and Taxes,True,this-american-life
103- Scenes from A Transplant,this-american-life,425- Slow To React,True,this-american-life,We're Going To Start A Dialogue...Again.,False,codeswitch,"Friday, November 4 ",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",False,npr-politics-podcast,86- How to Take Money from Strangers,True,this-american-life
104- Music Lessons,this-american-life,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,False,hidden-brain,"Weekly Roundup: Thursday, January 4",False,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",False,npr-politics-podcast,"Weekly Roundup: Thursday, November 17",False,npr-politics-podcast,257- What I Should’ve Said,True,this-american-life
105- Take A Negro Home,this-american-life,380- No Map,True,this-american-life,Bag O' Worms & The Velocity Of Poop,False,wow-in-the-world,Why Are Kids Who Get Less Candy Happier On Halloween?,False,hidden-brain,574- Sinatra’s 100th Birthday,False,this-american-life,Are Independents Just Partisans In Disguise?,False,hidden-brain
106- Father’s Day ‘98,this-american-life,479- Little War on the Prairie,True,this-american-life,554- Not It!,True,this-american-life,A Brief History of Tariffs ,False,the-indicator-from-planet-money,6 Decades Of Research Examines Prisoners Of War,False,hidden-brain,Three Indicators To Keep A (Side)eye On ,False,the-indicator-from-planet-money
107- Trail of Tears,this-american-life,EPISODE 27,False,Mable,EPISODE 29,False,Mable,439- A House Divided,True,this-american-life,"Weekly Roundup: Thursday, April 5",False,npr-politics-podcast,"Weekly Roundup: Thursday, October 18",False,npr-politics-podcast
108- Truth and Lies at Age Ten,this-american-life,"67- Your Dream, My Nightmare",True,this-american-life,323- The Super,True,this-american-life,30- Obsession,True,this-american-life,"Sunday, November 6",False,npr-politics-podcast,"Weekly Roundup: Thursday, June 22",False,npr-politics-podcast
109- Notes on Camp,this-american-life,#829: Rigging The Economy,False,planet-money,264- Special Treatment,True,this-american-life,607- Didn’t We Solve This One?,True,this-american-life,372- The Inauguration Show,True,this-american-life,535- Origin Story 2014,True,this-american-life
11- Enemies,this-american-life,302- Strangers in a Strange Land,True,this-american-life,425- Slow To React,True,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,True,hidden-brain,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,We're Going To Start A Dialogue...Again.,False,codeswitch
110- Mapping,this-american-life,615- The Beginning of Now,True,this-american-life,336- Who Can You Save?,True,this-american-life,"Wednesday, November 2",False,npr-politics-podcast,"Weekly Roundup: Thursday, November 17",False,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",False,npr-politics-podcast
111- Adventures in the Simple Life,this-american-life,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast,121- Twentieth Century Man,True,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,False,hidden-brain,86- How to Take Money from Strangers,True,this-american-life
112- Ladies and Germs,this-american-life,523- Death and Taxes,True,this-american-life,"Weekly Roundup: Thursday, March 7",False,npr-politics-podcast,"Tariffs And Tourists And Trade Wars, Oh My! ",False,the-indicator-from-planet-money,435- How To Create a Job,True,this-american-life,386- Fine Print,True,this-american-life
113- Windfall,this-american-life,380- No Map,True,this-american-life,Bag O' Worms & The Velocity Of Poop,False,wow-in-the-world,574- Sinatra’s 100th Birthday,True,this-american-life,House Judiciary Launches Probe Of Allegations Of Obstruction By President Trump,False,npr-politics-podcast,A Snapshot Of Poverty In America,True,the-indicator-from-planet-money
114- Last Words,this-american-life,"Trump Vs. The Fed, Or Trump Vs... Trump? ",False,the-indicator-from-planet-money,How President Trump's Rhetoric Is Changing The Way Americans Talk,False,hidden-brain,#885: Do It For Your Country,False,planet-money,539- The Leap,True,this-american-life,173- Three Kinds of Deception,True,this-american-life
115- First Day,this-american-life,514- Thought That Counts,True,this-american-life,518- Except For That One Thing,True,this-american-life,2- Small Scale Sin,True,this-american-life,50- Shoulda Been Dead,True,this-american-life,203- Recordings for Someone,True,this-american-life
116- Poultry Slam 1998,this-american-life,425- Slow To React,True,this-american-life,We're Going To Start A Dialogue...Again.,False,codeswitch,"Friday, November 4 ",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",False,npr-politics-podcast,86- How to Take Money from Strangers,True,this-american-life
117- You Gonna Eat That?,this-american-life,Why Are Kids Who Get Less Candy Happier On Halloween?,False,hidden-brain,Are Independents Just Partisans In Disguise?,False,hidden-brain,#802: The Hotel at the Center of the World,False,planet-money,The Cubic Scoop on Wombat Poop!,False,wow-in-the-world,The Original Bailout,False,the-indicator-from-planet-money
118- What You Lookin’ At?,this-american-life,391- More Is Less,True,this-american-life,157- Secret Life of Daytime,True,this-american-life,404- Enemy Camp 2010,True,this-american-life,143- Sentencing,True,this-american-life,76- Mob,True,this-american-life
119- Lockup,this-american-life,#828: You Asked For More,False,planet-money,8- New Year,True,this-american-life,Limetown Ep 3 Transcript,False,Limetown,362- Got You Pegged,True,this-american-life,94- How To,True,this-american-life
12- Animals,this-american-life,425- Slow To React,True,this-american-life,86- How to Take Money from Strangers,True,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",False,npr-politics-podcast,"Friday, November 4 ",False,npr-politics-podcast
120- Be Careful Who You Pretend to Be,this-american-life,EPISODE 32,False,Mable,666- The Theme That Shall Not Be Named,True,this-american-life,281- My Big Break,True,this-american-life,53- Valentine’s Day ‘97,True,this-american-life,76- Mob,True,this-american-life
121- Twentieth Century Man,this-american-life,514- Thought That Counts,True,this-american-life,518- Except For That One Thing,True,this-american-life,2- Small Scale Sin,True,this-american-life,50- Shoulda Been Dead,True,this-american-life,203- Recordings for Someone,True,this-american-life
122- Valentine’s Day ’99,this-american-life,523- Death and Taxes,True,this-american-life,"Weekly Roundup: Thursday, March 7",False,npr-politics-podcast,"Tariffs And Tourists And Trade Wars, Oh My! ",False,the-indicator-from-planet-money,435- How To Create a Job,True,this-american-life,386- Fine Print,True,this-american-life
123- High Cost of Living,this-american-life,#818: The Problem Of The Root,False,planet-money,Researchers Examine Why Tylenol Affects Empathy,False,hidden-brain,The Recession Predictor,True,the-indicator-from-planet-money,The Economics Of Happiness And A Country's Income Inequality,True,hidden-brain,502- This Call May Be Recorded... To Save Your Life,True,this-american-life
124- Welcome to America,this-american-life,"Trump Vs. The Fed, Or Trump Vs... Trump? ",False,the-indicator-from-planet-money,How President Trump's Rhetoric Is Changing The Way Americans Talk,False,hidden-brain,#885: Do It For Your Country,False,planet-money,#782: Budget Time,False,planet-money,539- The Leap,False,this-american-life
125- Apocalypse,this-american-life,"Originals: How To Spot One, How To Be One ",False,hidden-brain,245- Allure of the Mean Friend,True,this-american-life,333- The Center for Lessons Learned,True,this-american-life,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,False,hidden-brain,"Weekly Roundup: Thursday, January 4",False,npr-politics-podcast
126- Do-Gooders,this-american-life,"Tuesday, October 25",False,npr-politics-podcast,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,False,hidden-brain,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,Why Now? ,False,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,False,hidden-brain
127- Pimp Anthropology,this-american-life,143- Sentencing,True,this-american-life,76- Mob,True,this-american-life,53- Valentine’s Day ‘97,True,this-american-life,281- My Big Break,True,this-american-life,666- The Theme That Shall Not Be Named,True,this-american-life
128- Four Corners,this-american-life,I Can't Believe It's Not Budget,False,the-indicator-from-planet-money,"Puerto Rico, My Heart's Devotion",False,codeswitch,The Jobs Report: Where The Ladies At?,False,the-indicator-from-planet-money,BANG! Where'd This Universe Come From?!,False,wow-in-the-world,Trump Stories: Obstruction,False,embedded
129- Advice,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,True,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,True,hidden-brain,"Weekly Roundup: Thursday, February 1",False,npr-politics-podcast,Why Now? ,True,hidden-brain,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast
13- Love,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",False,the-indicator-from-planet-money,523- Death and Taxes,True,this-american-life,"Weekly Roundup: Thursday, March 7",False,npr-politics-podcast,EPISODE 29,False,Mable,435- How To Create a Job,True,this-american-life
130- Away From Home,this-american-life,Politics Podcast Pop Up,False,codeswitch,55- Three Women and the Sex Industry,True,this-american-life,266- I'm From the Private Sector and I'm Here to Help,True,this-american-life,You 2.0: Originals,False,hidden-brain,205- Plan B,True,this-american-life
131- The Kids Are Alright,this-american-life,133- Sales,True,this-american-life,302- Strangers in a Strange Land,True,this-american-life,272- Big Tent,True,this-american-life,"An Anthropologist Walks Into A Bar And Asks, 'Why Is This Joke Funny?'",False,hidden-brain,Episode 7,False,Serial
132- Father’s Day ‘99,this-american-life,6 Decades Of Research Examines Prisoners Of War,False,hidden-brain,A Brief History of Tariffs ,False,the-indicator-from-planet-money,"Your Jobs Questions, Answered",False,the-indicator-from-planet-money,#866: Modern Monetary Theory,False,planet-money,U.S.-China Trade: Where Are We Now?,False,the-indicator-from-planet-money
